id,playername,score,coins,kills,damagedealt,dps,timestamp,game_time
51,msudworth1e,36,2619,55,5590,978,2/16/2022,2274
52,lbillyeald1f,799,8597,77,9613,599,2/26/2022,3493
53,mnapper1g,586,160,46,4992,295,5/10/2022,1026
54,awhithalgh1h,709,2446,43,8717,704,3/26/2022,1179
55,smccall1i,928,773,57,5440,119,3/28/2022,1365
56,cpieter1j,989,6253,62,5650,154,9/20/2022,2
57,sburtwell1k,688,9747,67,5502,491,7/5/2022,2820
58,lantushev1l,813,9458,52,9285,222,8/15/2022,472
59,bcarolan1m,169,9508,56,64,894,5/30/2022,1356
60,mgue1n,299,9214,85,4289,480,3/20/2022,909
61,cmegahey1o,911,9152,76,2820,528,10/20/2022,1490
62,amawby1p,597,4228,96,7118,690,9/15/2022,1112
63,rgabe1q,251,6880,58,1332,285,2/9/2022,330
64,mreaney1r,937,9398,94,6498,139,11/15/2022,1196
65,pmingasson1s,319,8898,47,5718,943,4/27/2022,780
66,fbessom1t,63,7287,83,7541,404,6/2/2022,1123
67,yheams1u,463,5466,83,3447,751,5/13/2022,1683
68,epargent1v,687,6662,78,84,572,3/6/2022,2025
69,rmanzell1w,381,5682,63,8523,165,1/30/2022,2078
70,tjager1x,917,5737,90,1897,880,10/16/2022,1288
71,nsmalls1y,49,9406,89,9860,156,12/18/2022,1890
72,aandreix1z,199,3761,8,618,812,1/25/2022,336
73,lavramovsky20,284,6214,15,2348,933,9/14/2022,593
74,featttok21,602,3864,3,870,426,4/10/2022,1808
75,palen22,329,2062,43,4112,820,7/9/2022,2425
76,mmaccardle23,233,3593,54,6164,348,7/22/2022,637
77,oturmell24,763,6909,11,5978,375,2/24/2022,2021
78,psedcole25,474,8588,41,7912,712,11/3/2022,788
79,kmatias26,4,2946,26,7271,90,10/12/2022,1264
80,kwalak27,282,1420,22,7229,893,9/9/2022,1325
81,jgrigson28,662,3258,53,4366,301,5/30/2022,980
82,gpaddeley29,603,7474,58,9518,23,11/7/2022,358
83,cfilipov2a,437,9229,44,6735,96,5/4/2022,1277
84,spearman2b,210,5908,75,9122,132,4/8/2022,3308
85,bparlott2c,386,1076,13,953,270,4/3/2022,1345
86,wlukasen2d,763,9133,50,9475,933,5/2/2022,1860
87,ychimienti2e,908,6014,77,4779,417,1/22/2022,3262
88,gharford2f,431,505,75,3937,102,11/10/2022,1025
89,mlithcow2g,301,9720,95,9530,595,10/23/2022,3329
90,mwann2h,436,2068,27,1066,425,10/15/2022,2081
91,ksearles2i,210,3805,35,9493,811,9/15/2022,2951
92,ohenrionot2j,11,8074,77,9176,875,9/11/2022,2262
93,nstillmann2k,880,185,87,3243,417,4/17/2022,2418
94,ngreet2l,349,2911,100,8830,189,7/13/2022,2734
95,staree2m,679,5002,64,9006,977,11/3/2022,1682
96,lpatching2n,122,6527,33,8568,496,10/5/2022,1234
97,csudran2o,167,33,48,7122,352,5/7/2022,620
98,awoollons2p,599,3648,95,2632,416,3/23/2022,2139
99,htorricella2q,791,7079,66,6206,696,11/3/2022,233
100,kjacomb2r,646,1398,88,9407,414,1/13/2022,546
101,sdownton2s,711,1925,99,2357,297,4/27/2022,3012
102,bchampion2t,393,5317,92,84,130,7/13/2022,1228
103,chilldrop2u,59,5314,14,2258,450,10/26/2022,3339
104,sthickens2v,987,9399,37,8053,548,1/24/2022,2416
105,agovey2w,262,6108,76,1114,293,10/30/2022,3465
106,lkighly2x,506,4612,63,7514,8,10/23/2022,2393
107,tgoldis2y,476,3904,84,2513,399,10/28/2022,3458
108,sstollberg2z,465,8798,12,4415,372,8/4/2022,1437
109,amckellar30,757,3774,56,4525,335,5/28/2022,1505
110,draise31,496,9423,84,7349,542,2/13/2022,2463
111,mrosita32,615,2969,18,7413,728,1/13/2022,1532
112,gwalkden33,856,9659,22,4417,71,9/26/2022,2803
113,ynoades34,68,5984,71,8642,980,12/7/2022,632
114,nannice35,32,1049,52,8141,78,7/26/2022,3515
115,nperrin36,521,3503,43,7427,296,7/17/2022,2547
116,dmethingam37,185,6586,22,920,379,6/17/2022,67
117,kboughton38,936,6990,1,8264,161,7/30/2022,1652
118,sbust39,208,2228,23,2699,589,12/15/2022,1724
119,doyley3a,644,4833,58,2613,20,1/15/2022,185
120,kshoubridge3b,889,2569,60,802,124,6/9/2022,3190
121,hkeep3c,796,8569,19,500,454,6/1/2022,2716
122,bbuchanan3d,551,356,23,2412,335,7/4/2022,3527
123,ljeannet3e,36,7832,100,1232,591,12/12/2022,2014
124,bwoodrup3f,676,1311,99,6594,141,10/29/2022,78
125,belfleet3g,328,5234,88,6062,21,8/7/2022,83
126,wlipp3h,269,5754,2,3996,347,3/28/2022,938
127,vdaenen3i,752,3293,59,1150,184,8/28/2022,3081
128,siskow3j,571,31,68,5540,148,12/3/2022,157
129,dduplain3k,835,1347,12,8612,300,6/27/2022,760
130,arainard3l,669,5432,28,4378,259,3/6/2022,1594
131,phasson3m,318,9941,65,5635,684,7/30/2022,3099
132,nbrandreth3n,17,2467,24,200,403,5/1/2022,1942
133,cmycock3o,249,4125,37,7036,971,9/4/2022,2785
134,wstirling3p,459,5950,0,7354,623,6/21/2022,58
135,kbyart3q,182,5952,12,4253,991,8/28/2022,2201
136,urawdall3r,968,1144,54,6550,675,6/28/2022,2864
137,vpearce3s,656,1059,48,5773,57,11/8/2022,435
138,storetta3t,873,9726,71,3844,165,11/9/2022,161
139,arawlyns3u,295,4892,49,7948,89,10/1/2022,1082
140,lworman3v,89,2271,25,4680,410,4/21/2022,1750
141,arimmer3w,215,4936,24,597,91,1/22/2022,3312
142,evaar3x,457,1824,94,1088,923,9/17/2022,1925
143,jisles3y,133,7222,34,3572,863,6/18/2022,535
144,alabin3z,431,8844,20,2189,122,6/21/2022,2721
145,vgwinn40,266,6617,88,6545,666,9/22/2022,1235
146,rfagge41,409,4798,54,6910,752,4/26/2022,759
147,iforsythe42,458,3233,13,7547,332,10/28/2022,801
148,gcuckson43,361,6223,12,6357,545,9/27/2022,115
149,lbelfitt44,893,8055,38,3843,357,2/14/2022,831
150,jmerrington45,760,3208,19,2647,91,2/3/2022,3269
151,tjoris46,667,4314,33,8116,528,10/27/2022,2889
152,iblessed47,402,4344,94,5332,515,5/24/2022,1881
153,mharbottle48,230,4938,25,4437,608,4/28/2022,2518
154,bsorbey49,788,1987,76,5227,239,8/18/2022,1802
155,lcolegrove4a,960,2451,89,6185,497,6/3/2022,3153
156,ktommeo4b,281,6734,76,7215,816,7/16/2022,3484
157,rhalloran4c,46,7298,81,2252,609,10/10/2022,2842
158,dsnugg4d,886,2950,46,274,817,5/11/2022,1062
159,ginggall4e,6,5119,62,635,826,7/22/2022,74
160,jbickerdicke4f,186,5441,22,2291,954,3/27/2022,2861
161,ngeorge4g,415,3367,39,2995,816,11/5/2022,2651
162,sducker4h,740,641,30,7347,891,3/12/2022,2528
163,zcookson4i,595,9605,55,867,263,7/24/2022,1237
164,thambric4j,897,6240,71,4597,72,12/26/2022,186
165,hmortimer4k,953,8791,25,6310,653,9/16/2022,664
166,acolliver4l,300,3920,72,223,75,10/27/2022,3118
167,dshaughnessy4m,189,146,49,3675,773,2/2/2022,3252
168,pbaudone4n,277,5040,66,5161,772,3/23/2022,609
169,amealiffe4o,740,4129,100,8778,253,9/3/2022,2698
170,ggilyott4p,830,1261,92,5658,622,11/23/2022,2583
171,spawlicki4q,530,162,2,1766,769,5/28/2022,763
172,jnewbatt4r,424,4612,98,4289,727,3/25/2022,2017
173,mpatington4s,377,2627,83,3836,588,11/7/2022,2295
174,gmcnamee4t,21,5783,16,6634,781,7/21/2022,325
175,shappert4u,88,1126,53,1525,906,12/15/2022,2508
176,sbier4v,670,3126,65,4433,369,8/29/2022,418
177,epriddey4w,389,7535,51,4225,605,2/20/2022,2697
178,udavinet4x,549,7239,99,7117,479,10/5/2022,2050
179,mtompsett4y,517,590,27,8020,496,9/16/2022,2708
180,kchalkly4z,45,8206,38,3920,515,8/27/2022,3008
181,dmemory50,214,3684,31,433,818,2/17/2022,3420
182,eovendale51,970,3049,33,2063,797,9/1/2022,2363
183,aeggleston52,506,9024,44,6229,703,6/30/2022,2367
184,gwheadon53,141,936,37,6894,3,12/6/2022,389
185,jholdey54,380,9196,21,8904,582,4/14/2022,3394
186,imoubray55,382,2899,8,7643,663,4/22/2022,907
187,cburgess56,20,4774,8,99,681,9/20/2022,498
188,jmarval57,947,382,31,2802,101,3/14/2022,1040
189,pcheley58,723,227,67,8387,665,8/25/2022,1932
190,eferreri59,432,6355,43,8796,228,1/3/2022,1339
191,mcoulthard5a,52,7453,12,4653,631,9/3/2022,2202
192,hwarcop5b,577,6031,12,2288,528,10/4/2022,3048
193,cedginton5c,561,4244,99,4886,543,5/4/2022,1856
194,ljoe5d,785,8916,0,2410,197,4/24/2022,529
195,chuey5e,876,5265,13,1768,386,5/14/2022,2401
196,agoschalk5f,340,6424,97,5066,698,7/1/2022,3527
197,clargent5g,948,8282,19,573,112,7/8/2022,3557
198,menrique5h,408,7083,36,9755,157,7/27/2022,299
199,kgravey5i,998,8288,96,4800,114,11/26/2022,1742
200,avoules5j,397,6967,29,8768,326,7/29/2022,2538
201,tmcauley5k,587,5640,68,4287,994,10/16/2022,767
202,jaburrow5l,735,5120,24,1315,537,12/3/2022,1866
203,rkrook5m,529,4638,20,9717,320,12/8/2022,2944
204,gstothart5n,735,4296,47,5339,411,8/31/2022,2057
205,sbalbeck5o,378,8999,79,2092,643,1/7/2022,2131
206,mquinnell5p,614,5657,45,3343,65,11/3/2022,686
207,narnaldo5q,501,5242,82,6742,66,2/5/2022,3102
208,cmarfield5r,300,2133,54,4259,603,4/11/2022,420
209,rslogrove5s,57,5705,38,4285,311,10/31/2022,2561
210,rcolquyte5t,823,7723,53,9396,300,11/12/2022,1544
211,jmcsorley5u,922,8659,13,1885,7,4/17/2022,2504
212,skibble5v,171,3018,16,1227,727,9/1/2022,3105
213,econibeer5w,807,2044,69,6401,545,10/21/2022,1197
214,dduffet5x,574,4526,39,3387,727,9/21/2022,2170
215,tblabber5y,200,6118,47,4317,287,2/14/2022,423
216,palyukin5z,119,6620,86,6636,901,7/16/2022,2162
217,zlyman60,873,244,32,2144,899,5/3/2022,928
218,cgaley61,377,9251,31,1607,18,12/1/2022,955
219,khurworth62,708,5205,82,6555,390,4/3/2022,663
220,acotterill63,147,8697,46,1511,913,8/30/2022,3356
221,cwinters64,106,8679,48,1836,999,3/18/2022,1538
222,pleffek65,668,7760,97,96,579,12/20/2022,1207
223,ejoselin66,406,8965,75,5830,332,5/21/2022,1107
224,ocurtain67,420,1682,80,3317,459,5/3/2022,3285
225,gmartinetto68,429,5815,21,4203,686,9/2/2022,2316
226,rmccarl69,124,1770,72,2724,628,11/4/2022,2481
227,fswate6a,248,3243,52,9868,395,9/21/2022,1848
228,hfishlee6b,318,32,14,7017,19,9/22/2022,3002
229,eguiso6c,818,1406,84,205,227,12/5/2022,2795
230,gmclese6d,41,6036,0,939,607,7/21/2022,3218
231,dfulford6e,201,3454,21,9049,748,8/20/2022,2164
232,lladloe6f,549,8593,87,5025,78,2/23/2022,928
233,mgubbins6g,893,4676,49,5262,399,12/25/2022,1751
234,zlidbetter6h,138,3061,69,1761,289,12/27/2022,1016
235,kjacobbe6i,272,1196,58,9654,4,12/8/2022,1540
236,cbenardeau6j,661,5519,89,4958,235,11/29/2022,2718
237,wwordsworth6k,724,3119,92,6558,392,2/27/2022,3174
238,mnewham6l,812,5016,88,1216,742,9/18/2022,1437
239,kbrasse6m,299,772,25,6400,981,4/8/2022,3007
240,lviney6n,697,1601,33,211,262,11/30/2022,679
241,mglossop6o,450,2423,12,7024,43,7/24/2022,2455
242,capplewhite6p,813,1389,13,4755,800,2/24/2022,641
243,cmarrows6q,259,9824,74,403,468,2/21/2022,1421
244,crossiter6r,921,480,71,5315,586,6/6/2022,494
245,bcowburn6s,595,6188,41,1195,993,9/18/2022,1674
246,pnoell6t,963,2750,10,6301,102,2/17/2022,2217
247,rvasilic6u,644,3280,40,3249,866,4/26/2022,3042
248,aperel6v,549,687,45,4638,815,6/24/2022,715
249,pchasmer6w,115,5587,25,8978,69,9/14/2022,1931
250,keivers6x,168,4680,19,2918,149,1/14/2022,3511
251,rjanaway6y,258,8698,34,5547,13,4/19/2022,1350
252,pcastles6z,869,5687,17,5414,439,6/19/2022,1034
253,wbrideau70,812,8077,69,3421,87,5/29/2022,1552
254,cellsbury71,148,8683,95,8524,721,6/7/2022,1854
255,cchree72,488,2384,68,85,890,4/18/2022,2738
256,gbyk73,176,1100,13,4003,405,10/24/2022,1823
257,ilabone74,223,8627,4,5900,469,6/17/2022,3081
258,jsmyley75,326,1723,58,8064,768,9/16/2022,38
259,sfishbourn76,84,2367,81,5759,101,2/10/2022,2521
260,lsarjent77,520,9836,34,3992,999,3/27/2022,2910
261,lgoldsack78,312,436,11,2794,673,12/25/2022,765
262,erossborough79,475,9183,38,1038,354,4/3/2022,2209
263,zgloyens7a,56,2552,60,290,572,7/22/2022,3589
264,rstainland7b,644,6279,75,6192,943,6/2/2022,490
265,itoppes7c,121,796,71,7876,846,7/16/2022,3243
266,vrenfrew7d,44,4477,31,1264,837,1/4/2022,3217
267,gtadd7e,281,4280,54,8513,858,2/4/2022,16
268,rorr7f,408,912,45,5976,407,10/27/2022,1931
269,pocosgra7g,257,4222,7,794,743,12/5/2022,866
270,stwidle7h,868,1170,89,2522,979,10/18/2022,289
271,tquarles7i,164,4842,49,2326,937,10/5/2022,2199
272,zconradie7j,6,9760,40,9209,201,12/26/2022,2180
273,wbryan7k,271,9601,33,8805,832,2/19/2022,3177
274,eward7l,630,3096,16,5019,984,1/25/2022,2747
275,spaslow7m,635,7695,74,8015,757,10/27/2022,2327
276,geglinton7n,0,9825,19,1312,708,12/5/2022,1279
277,sdufore7o,877,3054,67,5579,751,10/14/2022,3114
278,rjelks7p,338,989,45,7220,179,3/28/2022,3153
279,gricciardi7q,184,3448,45,5373,414,3/4/2022,3213
280,ztodd7r,648,6747,98,830,947,6/27/2022,3591
281,jkaye7s,456,3277,91,1444,841,2/25/2022,1701
282,pbumpas7t,398,7140,26,3002,823,11/23/2022,360
283,jtantum7u,331,9746,79,5282,989,2/7/2022,137
284,cdeambrosis7v,41,6265,52,6680,463,10/6/2022,2741
285,tmacartney7w,696,8246,95,8058,714,8/20/2022,1287
286,aendacott7x,586,3052,87,3186,99,11/30/2022,604
287,jmcelhinney7y,959,886,88,8744,957,5/6/2022,173
288,lculleford7z,347,7371,5,7982,316,7/7/2022,1853
289,dbugg80,319,351,87,2037,243,10/16/2022,1039
290,fdrewitt81,535,2905,43,1784,560,10/24/2022,2613
291,smccreary82,321,7491,85,8720,371,7/21/2022,2461
292,pbisco83,776,3542,0,9214,456,6/15/2022,2459
293,gplascott84,576,858,68,7054,836,10/15/2022,1117
294,ttucknott85,326,6348,73,6759,507,10/29/2022,2620
295,rcolenutt86,791,4305,40,7061,303,11/15/2022,588
296,grosling87,377,8127,93,1575,7,12/14/2022,2656
297,rjennings88,485,6881,47,6599,775,11/6/2022,2930
298,eyewdell89,923,411,7,7896,976,9/15/2022,2229
299,khache8a,851,4903,100,3845,192,4/25/2022,2581
300,uworts8b,868,308,23,7910,348,8/29/2022,2756
301,rbenettelli8c,282,5277,14,8474,191,7/2/2022,392
302,lridulfo8d,610,4334,23,7426,465,3/1/2022,3326
303,adyett8e,505,1696,11,6823,94,6/3/2022,1209
304,kpachta8f,114,4265,13,7507,48,8/9/2022,3551
305,nbettenson8g,849,8878,50,9624,577,2/25/2022,1368
306,llofts8h,194,8102,30,299,368,10/29/2022,478
307,abotly8i,173,5796,81,8211,665,1/16/2022,3313
308,msertin8j,706,6705,79,2672,34,10/6/2022,1007
309,gderoche8k,577,255,89,777,970,5/27/2022,174
310,mattride8l,407,7388,45,2147,551,10/5/2022,1912
311,omoret8m,528,1661,83,4314,453,8/10/2022,3536
312,smcgiffie8n,411,9829,62,1012,859,7/20/2022,827
313,sneggrini8o,409,580,85,1401,68,1/4/2022,2838
314,cwinchcum8p,76,6442,91,6784,467,6/9/2022,1722
315,mgabe8q,106,837,31,4,729,7/10/2022,1892
316,lgaskarth8r,676,1085,49,1848,586,6/5/2022,3473
317,alucius8s,466,890,54,3572,11,10/1/2022,1345
318,emccomish8t,269,4583,18,7000,67,3/25/2022,2957
319,cducker8u,735,821,76,54,620,8/1/2022,2524
320,ehelstrom8v,528,5447,79,8597,220,6/6/2022,1051
321,mfloyed8w,995,5092,80,3396,781,12/25/2022,927
322,bdumbar8x,921,1164,24,684,981,5/18/2022,2047
323,cfort8y,702,1087,83,7282,489,7/8/2022,2187
324,pstiggers8z,834,2945,50,8009,376,2/26/2022,326
325,gsincock90,128,447,26,7624,990,10/2/2022,1473
326,gkinkade91,85,6180,100,5868,870,5/25/2022,1978
327,lbernadzki92,514,3222,46,9048,757,9/26/2022,458
328,epym93,190,4581,84,131,519,1/1/2022,1721
329,lkasbye94,834,8345,3,6880,533,5/2/2022,2702
330,yfensome95,532,2013,85,7628,800,2/26/2022,592
331,acalladine96,683,3072,51,1715,224,9/11/2022,2150
332,dwoofenden97,369,4944,45,2595,498,11/8/2022,1056
333,pcrowther98,84,7010,71,6663,426,12/7/2022,3049
334,ldenekamp99,463,8454,74,7554,815,4/25/2022,2747
335,bsannes9a,520,5736,24,8931,425,10/25/2022,2613
336,bhedley9b,803,3417,73,2485,774,12/2/2022,540
337,bcressor9c,767,3189,0,5877,726,2/23/2022,931
338,ameineken9d,226,3020,54,6936,802,1/17/2022,940
339,cvaughanhughes9e,279,1863,46,554,166,1/10/2022,2592
340,wmeadus9f,626,2230,55,2239,16,6/29/2022,2771
341,hkliemchen9g,552,4649,10,5192,90,1/13/2022,3348
342,shencke9h,783,3932,30,1986,905,12/23/2022,3505
343,wobradden9i,512,3550,83,7045,367,5/12/2022,3033
344,mbolton9j,693,5187,50,1477,210,10/18/2022,3136
345,hjimeno9k,855,1990,92,2029,686,4/3/2022,3107
346,fkos9l,802,2988,89,1477,897,8/18/2022,859
347,abogart9m,92,5279,33,1658,718,8/23/2022,2634
348,rclacson9n,575,8754,34,1099,580,6/2/2022,501
349,fcossentine9o,626,4629,29,3003,132,11/2/2022,1015
350,lscyner9p,619,1156,20,1522,702,5/20/2022,2327
351,csellan9q,551,229,13,8439,779,11/2/2022,58
352,dwillcott9r,317,1907,55,6698,992,8/4/2022,3098
353,zparlot9s,174,2867,70,6021,996,4/27/2022,2219
354,wlarmour9t,104,1178,40,6270,731,8/16/2022,478
355,hboissier9u,926,3218,47,3438,870,8/1/2022,1613
356,rfitchett9v,737,8035,26,4191,587,8/31/2022,2678
357,rbristo9w,734,6542,36,2008,189,6/13/2022,1699
358,lversey9x,663,1123,42,2676,263,6/6/2022,721
359,adallaghan9y,372,9810,42,8034,751,10/21/2022,3439
360,lbrun9z,955,5979,94,7720,955,2/12/2022,2827
361,rperella0,774,4469,81,8218,126,5/17/2022,2416
362,kgimbera1,387,4282,23,7417,76,7/29/2022,1989
363,brookledgea2,496,1231,64,5971,113,3/1/2022,1469
364,mmagnea3,935,1418,48,2687,915,1/21/2022,1134
365,ashrievesa4,727,2601,91,2409,987,2/16/2022,17
366,dmucklestonea5,162,9030,22,3330,870,6/10/2022,1495
367,lcrippesa6,764,5594,6,963,706,11/11/2022,1477
368,bkenwooda7,126,4326,21,4050,963,8/27/2022,2391
369,kgeartya8,661,1788,68,6998,324,7/28/2022,943
370,haltya9,950,9323,7,9166,856,4/16/2022,1707
371,mrosindillaa,823,2901,33,8409,43,3/11/2022,3520
372,amoulderab,249,6737,56,5294,122,1/11/2022,2868
373,pgrayshanac,791,281,13,4105,544,12/12/2022,3205
374,kpirouetad,139,2895,9,6229,721,11/30/2022,1248
375,pfarthingae,117,2001,76,8671,264,8/18/2022,2252
376,rfitzgeraldaf,20,7988,76,6464,852,7/29/2022,3214
377,mhoferag,755,1437,63,8192,151,3/20/2022,2521
378,sgreneah,151,3279,42,3532,623,1/7/2022,2707
379,wcarltonai,963,175,62,655,467,8/23/2022,3329
380,hbickerstasseaj,379,9602,68,9015,443,6/17/2022,1582
381,btugmanak,270,4903,92,391,397,7/25/2022,2132
382,ppietaschal,775,430,35,3164,809,10/29/2022,2175
383,acommonam,950,9093,36,4264,896,8/6/2022,2699
384,eohanniganan,764,7681,92,1876,483,12/24/2022,2607
385,sdiaperao,942,731,35,3325,201,1/15/2022,2712
386,lmacounap,192,3676,25,8315,420,8/14/2022,3128
387,rnevisonaq,405,9823,34,8451,494,1/4/2022,840
388,gparamorear,129,300,5,987,343,1/7/2022,1816
389,sbettlesas,941,7860,37,3136,72,8/15/2022,609
390,fwhopplesat,898,1962,33,3034,634,7/27/2022,506
391,jravelau,396,3814,92,5200,210,2/25/2022,1842
392,jgalliardav,392,7928,82,7313,720,5/10/2022,2211
393,gledrunaw,618,4701,9,3142,612,2/25/2022,2798
394,ewelhamax,759,95,45,8732,442,11/13/2022,1924
395,kmesnarday,96,2378,72,8646,567,11/8/2022,1915
396,mjaneaz,229,7148,46,6013,990,6/2/2022,903
397,cnewarkb0,348,5523,9,7370,79,2/28/2022,2158
398,randrosikb1,65,4974,0,1418,792,7/6/2022,1738
399,kclanceyb2,604,5136,60,7882,124,4/28/2022,2372
400,wbeyneb3,12,4104,97,3898,746,7/23/2022,1335
401,jmattysb4,119,8788,58,364,433,2/3/2022,2958
402,xclackb5,532,2639,80,187,626,7/18/2022,913
403,jlambrechtb6,292,8558,4,324,124,10/4/2022,2888
404,gsammonb7,931,1022,93,6350,597,1/29/2022,2119
405,ckayleyb8,732,6650,23,6821,846,10/19/2022,1623
406,idellortob9,509,5318,42,2059,309,7/11/2022,305
407,bheintzeba,163,2171,56,4917,450,2/7/2022,2487
408,jneylanbb,56,8615,8,335,679,11/5/2022,2062
409,marthursbc,775,3161,71,1460,727,7/30/2022,1100
410,rfellonabd,735,8274,52,6227,444,5/4/2022,2980
411,lkenwrightbe,190,8810,30,9797,752,10/1/2022,1938
412,cbockebf,112,2682,6,5415,161,6/3/2022,3442
413,ewaitbg,686,5760,89,1779,101,6/18/2022,2917
414,ebaffinbh,289,6810,29,2663,484,1/25/2022,2680
415,ovicebi,471,4560,48,564,201,12/16/2022,3209
416,kcamollibj,820,3739,86,7431,296,8/1/2022,2089
417,fmarquetbk,732,4798,12,8721,958,12/15/2022,1075
418,ayukhtinbl,571,6771,76,7207,632,8/2/2022,1073
419,cborrowsbm,481,8967,38,1359,323,10/19/2022,1841
420,peliazbn,737,4552,1,6108,482,11/13/2022,2398
421,tpolglasebo,147,3837,16,7335,790,8/14/2022,3311
422,vlererbp,476,1728,44,9468,25,4/27/2022,659
423,ppirdybq,487,9349,76,3806,807,10/2/2022,1295
424,twollandbr,231,3830,49,8078,602,3/16/2022,3371
425,llacostebs,272,3910,88,1384,994,1/5/2022,98
426,ffedynskibt,996,9297,81,2583,927,12/16/2022,474
427,jrawlsbu,839,9323,81,9840,588,11/19/2022,2610
428,cscrannybv,483,8166,80,4449,571,2/5/2022,2108
429,gdreierbw,481,431,94,6116,635,7/21/2022,2341
430,dcussbx,438,1543,89,9394,411,3/13/2022,1692
431,sledinghamby,957,4792,58,2045,685,3/12/2022,1984
432,crunhambz,332,4013,33,7499,863,12/9/2022,3143
433,rrexc0,817,6994,76,4368,579,11/24/2022,1983
434,ldrucec1,239,4637,87,7327,433,12/16/2022,519
435,demmsc2,933,3748,29,8206,110,4/11/2022,3522
436,nantonovicc3,561,3635,54,5919,8,5/25/2022,2455
437,hfellonac4,809,835,86,9618,193,12/25/2022,692
438,tallenc5,182,4246,41,4497,492,10/19/2022,397
439,livancevicc6,495,6255,77,4507,143,9/15/2022,1859
440,tarnaldoc7,642,28,92,1691,460,3/16/2022,1107
441,magassc8,345,5529,52,1168,34,9/18/2022,1845
442,kpetruszkac9,881,8837,40,549,936,11/13/2022,436
443,aclendeningca,113,199,53,7633,407,8/31/2022,3589
444,ekyrkemancb,175,889,21,2813,458,1/18/2022,3600
445,chalpinecc,38,9260,76,8709,437,10/27/2022,2846
446,ntizardcd,870,8810,12,5241,926,8/22/2022,2585
447,ipedrice,445,1740,99,5974,893,7/1/2022,2139
448,wsanbrookcf,39,2534,87,5362,649,8/14/2022,717
449,jisacqcg,474,7285,94,8263,775,3/17/2022,626
450,cforsonch,268,8291,89,3800,843,10/23/2022,410
451,kdurnoci,51,149,49,4896,400,12/14/2022,1065
452,gstarfordcj,131,9103,50,111,439,11/9/2022,1029
453,fguyverck,172,6298,84,7430,899,11/24/2022,1141
454,bprimecl,693,658,51,7054,286,7/23/2022,311
455,mbartlomiejcm,831,432,42,8477,100,2/8/2022,2675
